query_id,intent_type,priority,pattern_regex,description,example_queries,required_entities,target_attributes,source_identifier_types,query_function,parameter_mapping,result_limit,enabled
Q001,single_property,1,"^(.*?)(?:的|之)?(阈值|气味值|odor threshold|分子量|分子质量|molecular weight|pubchem|cid|pubchemid|cas|smiles|inchi|分子式|化学式|formula|化合物名|名称|name)(?:是|为)?(?:多少|什么|啥)?[?？]?$",单属性查询：获取分子特定属性值,"咖啡因的阈值是多少?;查一下58-08-2的分子量;(1-METHYLBUTOXY)PYRAZINE的阈值是多少?",Molecule,"threshold;molecular_weight;PubChemID;CAS;SMILES;InChI;formula;name","compound_name;CAS;PubChemID;InChI;SMILES",query_single_property,"{""entity"":""$1"",""attribute"":""$2""}",10,TRUE
Q002,cross_property_by_cas,2,"^(?:查|查询)?\\s*(?:cas|CAS)?\\s*[#:]?\\s*(\\d{1,7}-\\d{2}-\\d{1})(?:的|之)?(阈值|分子量|pubchem|cid|smiles|inchi|分子式|化合物名)(?:是|为)?(?:多少|什么)?[?？]?$",交叉查询：通过CAS查其他属性,"CAS 58-08-2的分子量是多少?;查CAS 123-45-6的阈值;58-08-2的SMILES是什么?",Molecule,"threshold;molecular_weight;PubChemID;SMILES;InChI;formula;name",CAS,query_cross_property,"{""source_value"":""$1"",""source_type"":""CAS"",""target_attr"":""$2""}",10,TRUE
Q003,cross_property_by_cid,3,"^(?:查|查询)?\\s*(?:pubchem|cid|PubChemID|PubChem\\s*ID)?\\s*[#:]?\\s*(\\d{3,})(?:的|之)?(阈值|分子量|cas|smiles|inchi|分子式|化合物名|名称)(?:是|为)?(?:多少|什么)?[?？]?$",交叉查询：通过PubChemID查其他属性,"PubChem 6566020的阈值是多少?;CID 2519的分子量;查一下PubChem 2519的CAS号",Molecule,"threshold;molecular_weight;CAS;SMILES;InChI;formula;name",PubChemID,query_cross_property,"{""source_value"":""$1"",""source_type"":""PubChemID"",""target_attr"":""$2""}",10,TRUE
Q004,cross_property_by_inchi,4,"^(?:查|查询)?\\s*(InChI=1S/[^\\s]+)(?:的|之)?(阈值|分子量|cas|pubchem|cid|smiles|分子式|化合物名)(?:是|为)?(?:多少|什么)?[?？]?$",交叉查询：通过InChI查其他属性,"InChI=1S/C9H14N2O/c1-3-4-8(2)12-9-7-10-5-6-11-9/h5-8H,3-4H2,1-2H3的阈值是多少?;查这个InChI的CAS号",Molecule,"threshold;molecular_weight;CAS;PubChemID;SMILES;formula;name",InChI,query_cross_property,"{""source_value"":""$1"",""source_type"":""InChI"",""target_attr"":""$2""}",10,TRUE
Q005,cross_property_by_smiles,5,"^(?:查|查询)?\\s*(SMILES:[A-Za-z0-9@\\.\\-\\+\\=\\(\\)\\[\\]\\{\\}\\#\\\\\\/:]+|(?:(?!InChI)[A-Za-z0-9@\\.\\-\\+\\=\\(\\)\\[\\]\\{\\}\\#\\\\\\/:]{5,}))(?:的|之)?(阈值|分子量|cas|pubchem|cid|inchi|分子式|化合物名)(?:是|为)?(?:多少|什么)?[?？]?$",交叉查询：通过SMILES查其他属性,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C的阈值是多少?;查这个SMILES的CAS号",Molecule,"threshold;molecular_weight;CAS;PubChemID;InChI;formula;name",SMILES,query_cross_property,"{""source_value"":""$1"",""source_type"":""SMILES"",""target_attr"":""$2""}",10,TRUE
Q006,property_filter_threshold,6,"^(?:阈值|气味值|odor threshold)[\\s]*([<＜>＞≤≥=]|小于|大于|等于|不超过|至少|at most|at least|less than|greater than|equal to)[\\s]*([\\d.]+)(?:\\s*(?:mg/kg|ppm))?的?(?:有哪些|的是哪些|的分子|的化合物)?[?？]?$",属性筛选：按阈值条件筛选,"阈值小于0.1的有哪些?;阈值大于1.0的化合物;odor threshold < 0.5",Molecule,threshold,-,query_property_filter,"{""attribute"":""threshold"",""operator"":""$1"",""value"":""$2""}",50,TRUE
Q007,property_filter_mw,7,"^(?:分子量|分子质量|molecular weight|mw)[\\s]*([<＜>＞≤≥=]|小于|大于|等于|不超过|至少)[\\s]*([\\d.]+)的?(?:有哪些|的是哪些|的分子|的化合物)?[?？]?$",属性筛选：按分子量条件筛选,"分子量大于200的有哪些?;molecular weight < 150的化合物",Molecule,molecular_weight,-,query_property_filter,"{""attribute"":""molecular_weight"",""operator"":""$1"",""value"":""$2""}",50,TRUE
Q008,property_filter_range,8,"^(?:阈值|分子量|mw|molecular weight)[\\s]*(?:在|介于|from|between)?\\s*([\\d.]+)\\s*[-~到至]\\s*([\\d.]+)",范围筛选：属性值在区间内,"阈值在0.1-1.0之间的分子;分子量介于100-200的有哪些",Molecule,"threshold;molecular_weight",-,query_property_filter,"{""attribute"":""auto_detect"",""operator"":""range"",""value"":""$1"",""value2"":""$2""}",50,TRUE
Q009,similar_property,9,"^(?:和|与|跟)(.+?)(?:的)?(?:阈值|分子量|气味值|mw|threshold)(?:相似|相近|类似|差不多|接近)(?:的分子|的化合物)?[?？]?$",相似查询：查找属性值相近的分子,"和咖啡因阈值相似的分子;与苯甲醛分子量相近的化合物",Molecule,"threshold;molecular_weight","compound_name;CAS;PubChemID;InChI",query_similar_property,"{""reference"":""$1"",""attribute"":""auto_detect"",""tolerance"":""0.2""}",20,TRUE
Q010,ingredient_molecules,10,"^(.*?)(?:里|里面|中|当中|内|中)?(?:有|包含|含|存在|包括)(?:什么|哪些|啥)?(?:分子|化学物质|成分|化合物|化学物|东西)?[?？]?$",食材分子查询：列出食材包含的所有分子,"咖啡里有什么分子?;牛肉中含有哪些化学物质?;大蒜里有什么成分?;鸡蛋包括哪些分子",Ingredient;Molecule,-,-,query_ingredient_molecules,"{""ingredient"":""$1"",""filter_threshold"":""False""}",100,TRUE
Q011,ingredient_molecules_filtered,11,"^(.*?)(?:里|里面|中)?(?:有|包含)?哪些有(?:阈值|气味值|气味)?的?(?:分子|化学物质|成分)?[?？]?$",带阈值筛选的食材分子查询,"咖啡里有哪些有阈值的分子?;哪些食材包含阈值数据?",Ingredient;Molecule,threshold,-,query_ingredient_molecules,"{""ingredient"":""$1"",""filter_threshold"":""True""}",100,TRUE
Q012,molecule_to_ingredients,12,"^(?:InChI=1S/[^\\s]+|SMILES:[A-Za-z0-9@\\.\\-\\+\\=\\(\\)\\[\\]\\{\\}\\#\\\\\\/:]+|\\d{1,7}-\\d{2}-\\d{1}|\\d{3,}|.+?)(?:\\s*存在于|\\s*在|\\s*分布)(?:哪些|什么)?(?:食材|食物|食品|菜|原料|菜品)?[?？]?$",分子分布查询：查找分子存在于哪些食材,"InChI=1S/C8H10N4O2...存在于哪些食材?;咖啡因在哪些食物中?;这个分子分布在哪里?",Molecule;Ingredient,-,"InChI;SMILES;CAS;PubChemID;compound_name",query_molecule_to_ingredients,"{""identifier"":""$1""}",50,TRUE
